text,intent,action_type,verb,category_code,value,goal_name,enabled,theme,verbal_style,time_range,query,note
Tổng chi cho Food tuần này là bao nhiêu?,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
Cho tui xem tiền tiêu Entertainment tháng trước đi Mimo.,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng trước,,
Report Shopping của quý này coi.,Action,REPORT_GENERAL,,Shopping,,,,,,quý này,,
Check tiền xài cho Transport hôm qua giúp tui.,Action,REPORT_GENERAL,,Transport,,,,,,hôm qua,,
Tiền đi học thêm Education tháng này hết nhiu rồi?,Action,REPORT_GENERAL,,Education,,,,,,tháng này,,
Báo cáo chi tiêu Health 2 tuần gần đây.,Action,REPORT_GENERAL,,Health,,,,,,2 tuần gần đây,,
Thống kê chi phí Housing trong năm ngoái.,Action,REPORT_GENERAL,,Housing,,,,,,năm ngoái,,
Liệt kê các khoản chi Social từ đầu tháng đến giờ.,Action,REPORT_GENERAL,,Social,,,,,,từ đầu tháng đến giờ,,
Mày báo cáo chi tiêu Beauty năm nay cho tao xem.,Action,REPORT_GENERAL,,Beauty,,,,,,năm nay,,
Xem chi phí Essentials trong tháng 3 dùm.,Action,REPORT_GENERAL,,Essentials,,,,,,tháng 3,,
Tính dùm tiền Investment trong 6 tháng gần nhất đi.,Action,REPORT_GENERAL,,Investment,,,,,,6 tháng gần nhất,,
Chi phí Others tháng 12 bao nhiêu vậy?,Action,REPORT_GENERAL,,Others,,,,,,tháng 12,,
Tiền Food tháng trước đã xài hết bao nhiêu?,Action,REPORT_GENERAL,,Food,,,,,,tháng trước,,
Bao nhiêu tiền cho Entertainment tuần này ròi?,Action,REPORT_GENERAL,,Entertainment,,,,,,tuần này,,
Coi lại tiền tiêu cho Shopping năm ngoái xem nào.,Action,REPORT_GENERAL,,Shopping,,,,,,năm ngoái,,
Tổng kết Transport 3 tháng gần nhất.,Action,REPORT_GENERAL,,Transport,,,,,,3 tháng gần nhất,,
Muốn coi tiền Education trong học kỳ này.,Action,REPORT_GENERAL,,Education,,,,,,học kỳ này,,
Liet ke cac khoan chi Health thang truoc.,Action,REPORT_GENERAL,,Health,,,,,,tháng trước,,
Tong ket Housing quy 1 di.,Action,REPORT_GENERAL,,Housing,,,,,,quý 1,,
Tui muon biet da chi bao nhieu cho Social hom nay.,Action,REPORT_GENERAL,,Social,,,,,,hôm nay,,
Xem tổng chi Beauty của tuần trước.,Action,REPORT_GENERAL,,Beauty,,,,,,tuần trước,,
Báo cáo chi tiêu Essentials của tháng này.,Action,REPORT_GENERAL,,Essentials,,,,,,tháng này,,
Cho xem chi phí Investment từ năm ngoái đến giờ.,Action,REPORT_GENERAL,,Investment,,,,,,từ năm ngoái đến giờ,,
Thống kê tiền Others trong 3 ngày gần nhất.,Action,REPORT_GENERAL,,Others,,,,,,3 ngày gần nhất,,
Food đã tốn bao nhiêu vào hôm qua?,Action,REPORT_GENERAL,,Food,,,,,,hôm qua,,
Tiền Entertainment trong 2 tuần qua là bao nhiêu?,Action,REPORT_GENERAL,,Entertainment,,,,,,2 tuần qua,,
Chi phí Shopping tháng 2.,Action,REPORT_GENERAL,,Shopping,,,,,,tháng 2,,
Báo cáo tiền Transport của tháng 10.,Action,REPORT_GENERAL,,Transport,,,,,,tháng 10,,
Tổng chi cho Education trong năm 2023.,Action,REPORT_GENERAL,,Education,,,,,,năm 2023,,
Thống kê chi phí Health của quý 4 năm ngoái.,Action,REPORT_GENERAL,,Health,,,,,,quý 4 năm ngoái,,
Cho tui xem tiền Housing đã chi từ 1/1 đến 31/3.,Action,REPORT_GENERAL,,Housing,,,,,,từ 1/1 đến 31/3,,
Report Social trong cuối tuần trước đi.,Action,REPORT_GENERAL,,Social,,,,,,cuối tuần trước,,
Check tiền xài cho Beauty tháng 7 dùm.,Action,REPORT_GENERAL,,Beauty,,,,,,tháng 7,,
Tiền Essentials quý này hết bao nhiêu?,Action,REPORT_GENERAL,,Essentials,,,,,,quý này,,
Tính dùm tiền Investment của quý 2.,Action,REPORT_GENERAL,,Investment,,,,,,quý 2,,
Chi phí Others trong 3 tháng cuối năm.,Action,REPORT_GENERAL,,Others,,,,,,3 tháng cuối năm,,
Tổng kết chi tiêu Food tháng 11.,Action,REPORT_GENERAL,,Food,,,,,,tháng 11,,
Muốn coi tiền Entertainment cả năm nay.,Action,REPORT_GENERAL,,Entertainment,,,,,,cả năm nay,,
Thống kê tiền Shopping trong tháng trước.,Action,REPORT_GENERAL,,Shopping,,,,,,tháng trước,,
Bao nhiêu tiền cho Transport trong tuần này?,Action,REPORT_GENERAL,,Transport,,,,,,tuần này,,
"Mimo ơi, cho tui xem tổng chi tiêu ăn uống tháng này đi.",Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
Hôm qua tui đã xài bao nhiu tiền đi lại vậy app?,Action,REPORT_GENERAL,,Transport,,,,,,hôm qua,,
Báo cáo chi phí mua sắm của tui trong tuần trước xem nào.,Action,REPORT_GENERAL,,Shopping,,,,,,tuần trước,,
Liệt kê các khoản chi giải trí từ đầu tháng đến giờ.,Action,REPORT_GENERAL,,Entertainment,,,,,,từ đầu tháng đến giờ,,
Tình hình tiền học của tui trong quý 1 năm nay ra sao?,Action,REPORT_GENERAL,,Education,,,,,,quý 1 năm nay,,
Xem giúp tiền khám bệnh tháng trước nha.,Action,REPORT_GENERAL,,Health,,,,,,tháng trước,,
Chi tiêu làm đẹp của tui tuần này là bao nhiêu?,Action,REPORT_GENERAL,,Beauty,,,,,,tuần này,,
Tổng kết tiền thuê nhà và sinh hoạt phí tháng 12 đi Mimo.,Action,REPORT_GENERAL,,Housing,,,,,,tháng 12,,
Các khoản đầu tư của tui trong năm 2023.,Action,REPORT_GENERAL,,Investment,,,,,,năm 2023,,
Tiền giao lưu bạn bè của tui tháng này.,Action,REPORT_GENERAL,,Social,,,,,,tháng này,,
Report chi phí nhu yếu phẩm trong 7 ngày gần đây.,Action,REPORT_GENERAL,,Essentials,,,,,,7 ngày gần đây,,
Tổng chi tiêu của tất cả các danh mục trong tháng 10 năm ngoái.,Action,REPORT_GENERAL,,Others,,,,,,tháng 10 năm ngoái,,
Mấy hôm rày tui đã đốt tiền cho đồ ăn vặt bao nhiêu?,Action,REPORT_GENERAL,,Food,,,,,,mấy hôm rày,,
Chi phí xăng xe từ 1/11 đến 15/11.,Action,REPORT_GENERAL,,Transport,,,,,,từ 1/11 đến 15/11,,
Tui đã tiêu bn tiền mua sắm online trong quý này?,Action,REPORT_GENERAL,,Shopping,,,,,,quý này,,
Tiền đi chơi với ny hôm cuối tuần là bao nhiêu?,Action,REPORT_GENERAL,,Entertainment,,,,,,cuối tuần,,
Thống kê chi phí học thêm của tui từ đầu năm đến nay.,Action,REPORT_GENERAL,,Education,,,,,,từ đầu năm đến nay,,
Cho xin report tiền thuốc men của tháng trước.,Action,REPORT_GENERAL,,Health,,,,,,tháng trước,,
Xem giúp chi tiêu làm tóc tháng trước.,Action,REPORT_GENERAL,,Beauty,,,,,,tháng trước,,
Tổng tiền điện nước trong tháng 9.,Action,REPORT_GENERAL,,Housing,,,,,,tháng 9,,
Các khoản tiền đã đầu tư vào crypto từ tháng trước.,Action,REPORT_GENERAL,,Investment,,,,,,từ tháng trước,,
Chi phí đi sinh nhật bạn bè trong tháng này.,Action,REPORT_GENERAL,,Social,,,,,,tháng này,,
Báo cáo chi tiêu cho đồ dùng cá nhân trong 30 ngày qua.,Action,REPORT_GENERAL,,Essentials,,,,,,30 ngày qua,,
Tổng tiền đã tiêu từ ngày 1/1/2024 đến 31/1/2024.,Action,REPORT_GENERAL,,Others,,,,,,từ ngày 1/1/2024 đến 31/1/2024,,
Tui muốn xem chi tiêu ăn uống của mình trong tuần này.,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
Report tiền đi lại hôm kia nha app.,Action,REPORT_GENERAL,,Transport,,,,,,hôm kia,,
Tổng kết tiền shopping đồ công nghệ tháng trước.,Action,REPORT_GENERAL,,Shopping,,,,,,tháng trước,,
Chi phí giải trí trong 3 ngày qua.,Action,REPORT_GENERAL,,Entertainment,,,,,,3 ngày qua,,
Thống kê tiền sách vở từ đầu năm học.,Action,REPORT_GENERAL,,Education,,,,,,đầu năm học,,
Xem giúp chi phí khám tổng quát năm nay.,Action,REPORT_GENERAL,,Health,,,,,,năm nay,,
Tiền mua mỹ phẩm mới từ 1/10 đến 15/10.,Action,REPORT_GENERAL,,Beauty,,,,,,từ 1/10 đến 15/10,,
Tổng chi phí sửa chữa nhà tháng này.,Action,REPORT_GENERAL,,Housing,,,,,,tháng này,,
Báo cáo tiền đầu tư chứng khoán quý 3.,Action,REPORT_GENERAL,,Investment,,,,,,quý 3,,
Chi tiêu cho tiệc tùng từ đầu tháng tới giờ.,Action,REPORT_GENERAL,,Social,,,,,,từ đầu tháng tới giờ,,
"Mimo ơi, cho tui xem tổng chi cho nhu yếu phẩm tuần rồi.",Action,REPORT_GENERAL,,Essentials,,,,,,tuần rồi,,
Tổng hợp chi tiêu của tui trong năm 2022.,Action,REPORT_GENERAL,,Others,,,,,,năm 2022,,
Chi phí ăn uống hôm nay.,Action,REPORT_GENERAL,,Food,,,,,,hôm nay,,
Báo cáo tiền Grab/xe ôm tuần trước.,Action,REPORT_GENERAL,,Transport,,,,,,tuần trước,,
Thống kê chi phí của tất cả các khoản chi trong quý cuối năm.,Action,REPORT_GENERAL,,Others,,,,,,quý cuối năm,,
Xem tổng tiền đã tiêu từ 1/8 đến 31/8 năm ngoái.,Action,REPORT_GENERAL,,Others,,,,,,từ 1/8 đến 31/8 năm ngoái,,
tình hình chi tiêu ăn uống bữa nay ntn?,Action,REPORT_GENERAL,,Food,,,,,,bữa nay,,
thống kê mua sắm tuần này đi Mimo,Action,REPORT_GENERAL,,Shopping,,,,,,tuần này,,
báo cáo chi phí đi lại tháng trước cho tớ,Action,REPORT_GENERAL,,Transport,,,,,,tháng trước,,
check lại tiền học phí quý 1 xem giúp tui,Action,REPORT_GENERAL,,Education,,,,,,quý 1,,
chi tiêu cho giải trí hqua là bao nhiêu?,Action,REPORT_GENERAL,,Entertainment,,,,,,hôm qua,,
xem tớ đã xài bn tiền làm đẹp tháng này rùi,Action,REPORT_GENERAL,,Beauty,,,,,,tháng này,,
tổng tiền nhà tháng rùi là bn Mimo?,Action,REPORT_GENERAL,,Housing,,,,,,tháng trước,,
tình hình đầu tư năm nay ntn rùi ta?,Action,REPORT_GENERAL,,Investment,,,,,,năm nay,,
report chi phí y tế trong 2 ngày qua,Action,REPORT_GENERAL,,Health,,,,,,2 ngày qua,,
thống kê mấy khoản linh tinh tuần trước nha,Action,REPORT_GENERAL,,Others,,,,,,tuần trước,,
số tiền cho các mối quan hệ xã hội tháng 3 ý,Action,REPORT_GENERAL,,Social,,,,,,tháng 3,,
check tiền thiết yếu từ 1/1 đến 31/1 hộ tớ,Action,REPORT_GENERAL,,Essentials,,,,,,từ 1/1 đến 31/1,,
cho tớ biết chi tiêu ăn uống 3 ngày gần nhất,Action,REPORT_GENERAL,,Food,,,,,,3 ngày gần nhất,,
thống kê tiền mua sắm tháng 10 năm ngoái đi,Action,REPORT_GENERAL,,Shopping,,,,,,tháng 10 năm ngoái,,
report các khoản đi lại từ đầu tháng,Action,REPORT_GENERAL,,Transport,,,,,,đầu tháng,,
tình hình tiền học hành nửa đầu năm nay Mimo ơi,Action,REPORT_GENERAL,,Education,,,,,,nửa đầu năm nay,,
chi phí giải trí trong tháng 6 vừa rồi là bn?,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng 6 vừa rồi,,
xem Mimo đã chi cho làm đẹp quý trước bn thui,Action,REPORT_GENERAL,,Beauty,,,,,,quý trước,,
tổng chi cho nhà cửa năm 2023,Action,REPORT_GENERAL,,Housing,,,,,,năm 2023,,
tình hình đầu tư của tôi tháng trước,Action,REPORT_GENERAL,,Investment,,,,,,tháng trước,,
báo cáo chi tiêu sức khỏe trong tuần này,Action,REPORT_GENERAL,,Health,,,,,,tuần này,,
thống kê các khoản khác trong tháng này dùm Mimo,Action,REPORT_GENERAL,,Others,,,,,,tháng này,,
tiền giao lưu hqua là bn thui,Action,REPORT_GENERAL,,Social,,,,,,hôm qua,,
xem chi phí thiết yếu của mình tuần trước,Action,REPORT_GENERAL,,Essentials,,,,,,tuần trước,,
tính hộ tớ tiền ăn cả tuần nay,Action,REPORT_GENERAL,,Food,,,,,,cả tuần nay,,
report chi phí shopping của tháng này Mimo,Action,REPORT_GENERAL,,Shopping,,,,,,tháng này,,
đi lại tháng 7 năm ngoái ntn rùi?,Action,REPORT_GENERAL,,Transport,,,,,,tháng 7 năm ngoái,,
tình hình tiền học của quý 2 ntn?,Action,REPORT_GENERAL,,Education,,,,,,quý 2,,
hqua chi giải trí hết bn?,Action,REPORT_GENERAL,,Entertainment,,,,,,hôm qua,,
tiền làm đẹp của tháng trước là bn?,Action,REPORT_GENERAL,,Beauty,,,,,,tháng trước,,
chi phí nhà ở tuần này Mimo,Action,REPORT_GENERAL,,Housing,,,,,,tuần này,,
report đầu tư từ đầu năm đến giờ,Action,REPORT_GENERAL,,Investment,,,,,,từ đầu năm đến giờ,,
thống kê tiền y tế của năm nay,Action,REPORT_GENERAL,,Health,,,,,,năm nay,,
mấy khoản khác trong tháng trước là bn Mimo?,Action,REPORT_GENERAL,,Others,,,,,,tháng trước,,
tiền đi chơi với bạn bè tuần trước,Action,REPORT_GENERAL,,Social,,,,,,tuần trước,,
check chi tiêu thiết yếu tháng này,Action,REPORT_GENERAL,,Essentials,,,,,,tháng này,,
tình hình ăn uống của tớ trong 7 ngày qua,Action,REPORT_GENERAL,,Food,,,,,,7 ngày qua,,
thống kê chi phí mua sắm cuối tháng này cho tui,Action,REPORT_GENERAL,,Shopping,,,,,,cuối tháng này,,
chi phí đi lại tháng 8 ntn?,Action,REPORT_GENERAL,,Transport,,,,,,tháng 8,,
tổng tiền học thêm trong năm học này,Action,REPORT_GENERAL,,Education,,,,,,năm học này,,
tinh hinh xai tien an uong tuan nay,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
chi tieu cho do an thang truoc la bao nhieu vay Mimo,Action,REPORT_GENERAL,,Food,,,,,,tháng trước,,
xem gium tui may ngay qua ton nhieu cho do an rui,Action,REPORT_GENERAL,,Food,,,,,,mấy ngày qua,,
bao nhieu tien an tu dau thang den gio,Action,REPORT_GENERAL,,Food,,,,,,từ đầu tháng đến giờ,,
báo cáo tổng kết chi phí ăn uống năm ngoái,Action,REPORT_GENERAL,,Food,,,,,,năm ngoái,,
tui da chi bao nhieu cho di lai hom qua,Action,REPORT_GENERAL,,Transport,,,,,,hôm qua,,
thong ke chi phi di lai cua minh trong 7 ngay qua,Action,REPORT_GENERAL,,Transport,,,,,,7 ngày qua,,
chi phi xe co thang nay la bao nhieu,Action,REPORT_GENERAL,,Transport,,,,,,tháng này,,
report gium tui tien do xang quy nay,Action,REPORT_GENERAL,,Transport,,,,,,quý này,,
cho xem tong cong tien di lai tu dau nam den gio,Action,REPORT_GENERAL,,Transport,,,,,,từ đầu năm đến giờ,,
report chi tieu mua sam tuan truoc,Action,REPORT_GENERAL,,Shopping,,,,,,tuần trước,,
tinh hinh shopping hom nay,Action,REPORT_GENERAL,,Shopping,,,,,,hôm nay,,
thong ke tien mua sam trong 30 ngay gan day,Action,REPORT_GENERAL,,Shopping,,,,,,30 ngày gần đây,,
cho tui biet tien mua sam cua minh vao thang 12 nam ngoai,Action,REPORT_GENERAL,,Shopping,,,,,,tháng 12 năm ngoái,,
total chi cho mua sam nam nay la bao nhieu roi Mimo,Action,REPORT_GENERAL,,Shopping,,,,,,năm nay,,
tien giai tri cua tui tuan nay,Action,REPORT_GENERAL,,Entertainment,,,,,,tuần này,,
xem may ngay qua di choi ton bao nhieu,Action,REPORT_GENERAL,,Entertainment,,,,,,mấy ngày qua,,
chi phí giải trí tháng trước là bao nhiêu?,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng trước,,
bao cao tien di choi tu 1/1 den 31/1,Action,REPORT_GENERAL,,Entertainment,,,,,,từ 1/1 đến 31/1,,
thong ke chi tieu giai tri nam ngoai cua tui,Action,REPORT_GENERAL,,Entertainment,,,,,,năm ngoái,,
tinh hinh chi cho hoc hanh thang nay,Action,REPORT_GENERAL,,Education,,,,,,tháng này,,
hom qua ton bao nhieu tien hoc phi,Action,REPORT_GENERAL,,Education,,,,,,hôm qua,,
thong ke chi phi giao duc quy truoc,Action,REPORT_GENERAL,,Education,,,,,,quý trước,,
tien hoc tu dau nam den gio la nhieu,Action,REPORT_GENERAL,,Education,,,,,,từ đầu năm đến giờ,,
bao cao tong chi phi hoc tap cua Mimo trong 6 thang qua,Action,REPORT_GENERAL,,Education,,,,,,6 tháng qua,,
chi phi lam dep tuan nay,Action,REPORT_GENERAL,,Beauty,,,,,,tuần này,,
tong tien my pham thang truoc,Action,REPORT_GENERAL,,Beauty,,,,,,tháng trước,,
bao nhieu tien cham soc suc khoe nam nay,Action,REPORT_GENERAL,,Health,,,,,,năm nay,,
thong ke tien thuoc men trong 3 thang gan nhat,Action,REPORT_GENERAL,,Health,,,,,,3 tháng gần nhất,,
report chi phi kham benh cua tui hom qua,Action,REPORT_GENERAL,,Health,,,,,,hôm qua,,
tien nha thang nay het bao nhieu,Action,REPORT_GENERAL,,Housing,,,,,,tháng này,,
thong ke tien thue tro cua minh tu dau nam,Action,REPORT_GENERAL,,Housing,,,,,,từ đầu năm,,
report chi phi hen ho tuan nay,Action,REPORT_GENERAL,,Social,,,,,,tuần này,,
chi phi giao luu ban be thang truoc,Action,REPORT_GENERAL,,Social,,,,,,tháng trước,,
tong chi cho cac moi quan he xa hoi nam ngoai,Action,REPORT_GENERAL,,Social,,,,,,năm ngoái,,
tinh hinh tien dau tu quy nay,Action,REPORT_GENERAL,,Investment,,,,,,quý này,,
report cho tui chi phi tien ich thiet yeu thang nay,Action,REPORT_GENERAL,,Essentials,,,,,,tháng này,,
cho xem tien phat sinh thang truoc,Action,REPORT_GENERAL,,Others,,,,,,tháng trước,,
thong ke chi phi linh tinh cua tui trong nua dau nam,Action,REPORT_GENERAL,,Others,,,,,,nửa đầu năm,,
hom nay tien dau tu cua tui sao roi,Action,REPORT_GENERAL,,Investment,,,,,,hôm nay,,
Tổng chi tiêu cho Food của tui tháng này là bao nhiêu?,Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
Cho tui xem report về Housing trong quý 1 đi,Action,REPORT_GENERAL,,Housing,,,,,,quý 1,,
Thống kê chi phí đi lại hôm qua như nào?,Action,REPORT_GENERAL,,Transport,,,,,,hôm qua,,
Chi tiêu cho Shopping tuần trước là bao nhiu vậy Mimo?,Action,REPORT_GENERAL,,Shopping,,,,,,tuần trước,,
Tui đã đốt bao nhiêu tiền cho Entertainment trong tháng vừa rồi?,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng vừa rồi,,
Kiểm tra chi phí Education từ đầu năm đến giờ coi,Action,REPORT_GENERAL,,Education,,,,,,từ đầu năm đến giờ,,
Báo cáo chi tiêu cho Beauty 3 ngày gần đây giùm tui,Action,REPORT_GENERAL,,Beauty,,,,,,3 ngày gần đây,,
Show tui tổng chi cho Health mấy tháng trước,Action,REPORT_GENERAL,,Health,,,,,,mấy tháng trước,,
Tiền đầu tư Investment của tui năm nay đã dùng hết bao nhiêu rồi?,Action,REPORT_GENERAL,,Investment,,,,,,năm nay,,
Mấy cái linh tinh Others tháng trước là bao nhiêu?,Action,REPORT_GENERAL,,Others,,,,,,tháng trước,,
Cho xem tổng chi tiêu cho Essentials tuần này,Action,REPORT_GENERAL,,Essentials,,,,,,tuần này,,
Social trong tháng này đã hết bn tiền rùi?,Action,REPORT_GENERAL,,Social,,,,,,tháng này,,
Tkê chi phí ăn uống tuần rồi đi,Action,REPORT_GENERAL,,Food,,,,,,tuần rồi,,
Báo cáo chi phí nhà ở năm ngoái cho tui,Action,REPORT_GENERAL,,Housing,,,,,,năm ngoái,,
Tình hình chi tiêu đi lại trong quý này ntn?,Action,REPORT_GENERAL,,Transport,,,,,,quý này,,
Cho tui biết đã chi bn cho Shopping trong 2 tuần qua,Action,REPORT_GENERAL,,Shopping,,,,,,2 tuần qua,,
Giải trí hôm nay tốn bn tiền?,Action,REPORT_GENERAL,,Entertainment,,,,,,hôm nay,,
Check chi phí học tập tháng 1 cho tui,Action,REPORT_GENERAL,,Education,,,,,,tháng 1,,
Chi cho làm đẹp tháng này là bao nhiêu Mimo ơi?,Action,REPORT_GENERAL,,Beauty,,,,,,tháng này,,
Tổng chi phí sức khỏe của tui năm trước,Action,REPORT_GENERAL,,Health,,,,,,năm trước,,
Đầu tư quý này chi bnhiu rồi?,Action,REPORT_GENERAL,,Investment,,,,,,quý này,,
Mấy khoản linh tinh trong 7 ngày gần nhất là bao nhiêu?,Action,REPORT_GENERAL,,Others,,,,,,7 ngày gần nhất,,
Chi phí thiết yếu trong 3 tháng qua là bn?,Action,REPORT_GENERAL,,Essentials,,,,,,3 tháng qua,,
Chi phí giao lưu bạn bè tuần này ntn rùi?,Action,REPORT_GENERAL,,Social,,,,,,tuần này,,
Xem chi tiêu Food trong khoảng từ 1/1 đến 31/3,Action,REPORT_GENERAL,,Food,,,,,,từ 1/1 đến 31/3,,
Báo cáo chi phí Housing năm nay cho tui,Action,REPORT_GENERAL,,Housing,,,,,,năm nay,,
Thống kê chi phí đi lại của tui trong năm 2023,Action,REPORT_GENERAL,,Transport,,,,,,năm 2023,,
Shopping cả năm ngoái hết bao nhiêu tiền vậy,Action,REPORT_GENERAL,,Shopping,,,,,,cả năm ngoái,,
Tui đã chi bao nhiêu cho giải trí từ đầu tháng?,Action,REPORT_GENERAL,,Entertainment,,,,,,từ đầu tháng,,
Tổng Education tháng 10 năm trước là bn?,Action,REPORT_GENERAL,,Education,,,,,,tháng 10 năm trước,,
Chi cho Beauty trong 4 tháng gần đây ntn?,Action,REPORT_GENERAL,,Beauty,,,,,,4 tháng gần đây,,
Health của tui trong 6 tháng vừa qua,Action,REPORT_GENERAL,,Health,,,,,,6 tháng vừa qua,,
Cho tui xem báo cáo Investment trong năm tài chính này,Action,REPORT_GENERAL,,Investment,,,,,,năm tài chính này,,
Mấy cái linh tinh năm nay là bao nhiêu?,Action,REPORT_GENERAL,,Others,,,,,,năm nay,,
Chi tiêu cho Essentials trong 2 ngày qua,Action,REPORT_GENERAL,,Essentials,,,,,,2 ngày qua,,
Chi phí Social tuần vừa rồi,Action,REPORT_GENERAL,,Social,,,,,,tuần vừa rồi,,
Report chi tiêu Food trong tháng 12,Action,REPORT_GENERAL,,Food,,,,,,tháng 12,,
Mimo cho tui biết chi phí Housing tháng trước nha,Action,REPORT_GENERAL,,Housing,,,,,,tháng trước,,
Tình hình chi tiêu đi lại trong tháng 5 vừa qua,Action,REPORT_GENERAL,,Transport,,,,,,tháng 5 vừa qua,,
Báo cáo Shopping trong quý trước giùm tui,Action,REPORT_GENERAL,,Shopping,,,,,,quý trước,,
Tổng kết chi tiêu cho Education năm ngoái,Action,REPORT_GENERAL,,Education,,,,,,năm ngoái,,
report chi tieu an uong thang nay cho tui di,Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
thống kê chi tiêu giải trí tuần trước xem nào,Action,REPORT_GENERAL,,Entertainment,,,,,,tuần trước,,
Cho tui xem tổng tiền mua sắm tháng 11 đi,Action,REPORT_GENERAL,,Shopping,,,,,,tháng 11,,
Chi phí đi lại năm ngoái của tui là bao nhiêu vại?,Action,REPORT_GENERAL,,Transport,,,,,,năm ngoái,,
Báo cáo chi tiêu làm đẹp quý 2 xem sao,Action,REPORT_GENERAL,,Beauty,,,,,,quý 2,,
Tiền học hành của tui từ đầu năm đến giờ là nhiêu?,Action,REPORT_GENERAL,,Education,,,,,,từ đầu năm,,
Thống kê chi tiêu nhà cửa 3 tháng qua,Action,REPORT_GENERAL,,Housing,,,,,,3 tháng qua,,
Tiền đầu tư của tui năm 2023 thế nào?,Action,REPORT_GENERAL,,Investment,,,,,,năm 2023,,
Xem tổng chi phí sức khỏe tháng trước đi,Action,REPORT_GENERAL,,Health,,,,,,tháng trước,,
Tổng chi tiêu thiết yếu tháng này là bao nhiêu?,Action,REPORT_GENERAL,,Essentials,,,,,,tháng này,,
Chi tiêu xã hội quý này của tui ra sao?,Action,REPORT_GENERAL,,Social,,,,,,quý này,,
Các khoản chi khác trong 6 tháng qua của tui?,Action,REPORT_GENERAL,,Others,,,,,,6 tháng qua,,
Thống kê chi phí ăn uống tuần này,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
Báo cáo tiền giải trí hôm qua,Action,REPORT_GENERAL,,Entertainment,,,,,,hôm qua,,
Xem chi phí mua sắm năm nay của tui đi,Action,REPORT_GENERAL,,Shopping,,,,,,năm nay,,
Tổng chi phí đi lại nửa đầu năm là nhiêu?,Action,REPORT_GENERAL,,Transport,,,,,,nửa đầu năm,,
Chi tiền làm đẹp trong 3 ngày gần nhất,Action,REPORT_GENERAL,,Beauty,,,,,,3 ngày gần nhất,,
Bao nhiêu tiền học hành tháng này vậy?,Action,REPORT_GENERAL,,Education,,,,,,tháng này,,
Thống kê chi phí nhà cửa trong tháng 10,Action,REPORT_GENERAL,,Housing,,,,,,tháng 10,,
Xem các khoản đầu tư của tui tháng trước,Action,REPORT_GENERAL,,Investment,,,,,,tháng trước,,
Chi phí sức khỏe năm nay của tui,Action,REPORT_GENERAL,,Health,,,,,,năm nay,,
Báo cáo chi tiêu thiết yếu tuần trước,Action,REPORT_GENERAL,,Essentials,,,,,,tuần trước,,
Tiền giao lưu bạn bè tháng này là bao nhiêu?,Action,REPORT_GENERAL,,Social,,,,,,tháng này,,
Chi phí khác hôm nay,Action,REPORT_GENERAL,,Others,,,,,,hôm nay,,
Cho tui xem tổng chi ăn uống tháng 12 nha,Action,REPORT_GENERAL,,Food,,,,,,tháng 12,,
Báo cáo giải trí 2 tháng qua,Action,REPORT_GENERAL,,Entertainment,,,,,,2 tháng qua,,
Thống kê mua sắm từ đầu năm đến giờ,Action,REPORT_GENERAL,,Shopping,,,,,,từ đầu năm,,
Chi phí đi lại năm 2022 của tui,Action,REPORT_GENERAL,,Transport,,,,,,năm 2022,,
Xem tổng chi làm đẹp quý 1,Action,REPORT_GENERAL,,Beauty,,,,,,quý 1,,
Tiền học hành tháng trước là nhiêu?,Action,REPORT_GENERAL,,Education,,,,,,tháng trước,,
Báo cáo chi phí nhà cửa 7 ngày gần nhất,Action,REPORT_GENERAL,,Housing,,,,,,7 ngày gần nhất,,
Xem tiền đầu tư hôm qua,Action,REPORT_GENERAL,,Investment,,,,,,hôm qua,,
Tổng chi phí sức khỏe tuần này,Action,REPORT_GENERAL,,Health,,,,,,tuần này,,
Tiền thiết yếu năm ngoái là bao nhiêu?,Action,REPORT_GENERAL,,Essentials,,,,,,năm ngoái,,
Báo cáo chi tiêu xã hội nửa cuối năm,Action,REPORT_GENERAL,,Social,,,,,,nửa cuối năm,,
Các khoản chi khác trong tháng này,Action,REPORT_GENERAL,,Others,,,,,,tháng này,,
Chi phí ăn uống tháng sau là bao nhiêu,Action,REPORT_GENERAL,,Food,,,,,,tháng sau,,
Tổng giải trí năm nay của tui,Action,REPORT_GENERAL,,Entertainment,,,,,,năm nay,,
Thống kê mua sắm quý 3 đi,Action,REPORT_GENERAL,,Shopping,,,,,,quý 3,,
Báo cáo chi phí đi lại tháng 8,Action,REPORT_GENERAL,,Transport,,,,,,tháng 8,,
cho xin báo cáo chi tiêu giải trí tháng nì,Action,REPORT_GENERAL,,Entertainment,,,,,,tháng này,,
report chi phí ăn uống tuần rùi coi,Action,REPORT_GENERAL,,Food,,,,,,tuần rồi,,
